Name,Latitude,Longitude,Color
Escuela de Ciencia e Ingeniería de los Materiales (I4),9.85375300,-83.91228900,#b4a35e
"Colegio Científico de Costa Rica, sede de Cartago (TEC) (I5)",9.853871000,-83.91098100,#b4a35e
Aulas I ITCR (I6),9.853467000,-83.91198000,#b4a35e
Residencias Estudiantiles Hombres 1 (J1),9.859073000,-83.91269200,#efc717
Residencias Estudiantiles Hombres 2 (J2),9.858965000,-83.91219000,#efc717
J5,9.858609000,-83.91120500,#efc717
J6,9.858282000,-83.91094600,#efc717
Residencias Estudiantiles (J7),9.858899000,-83.91147700,#efc717
Escuela de Ingeniería Electrónica (K1),9.854892000,-83.90714200,#d3a871
Escuela de Ingeniría en Seguridad Laboral e Higiene Ambiental (K2),9.854249000,-83.9071520,#d3a871
Learning Commons (K3),9.854329000,-83.90667100,#d3a871
Comedor Estudiantil (K4),9.853979000,-83.90713900,#d3a871
K5,9.853275000,-83.90710500,#d3a871
Escuela de Ing Diseño Industrial (K6),9.853504000,-83.90566600,#d3a871
L1,9.849941000,-83.91122200,#6fccb8
L2,9.850007000,-83.91073000,#6fccb8
Escuela de Ingeniería Forestal (L3),9.849709000,-83.91074200,#6fccb8
Centro Investigación Innovación Forestal (CIF) (L4),9.849962000,-83.91033700,#6fccb8
Soda La Casita Forestal (L7),9.849609000,-83.91035700,#6fccb8
Soda La Deportiva,9.857427000,-83.91084800,#a6220b
Pretil,9.855682000,-83.91280600,#888888
Lago TEC (M3),9.854567000,-83.91054100,#888888
Cancha Baloncesto (E9),9.856843000,-83.90972800,#a6220b
Cancha de Futbol ITCR (E4),9.856112000,-83.90940300,#a6220b
Cancha de F�tbol (E12),9.856756000,-83.90916200,#a6220b
Canchas Sinteticas ITCR (E10),9.855805000,-83.90840400,#a6220b
Campo de Béisbol (E5),9.855863000,-83.90769500,#a6220b
